routenum,eta,distance,route,time
1,"35 min","33 mi","via I-95","Wed Sep 26 13:18:05 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:18:05 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:18:12 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:18:12 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:18:19 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:18:19 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:18:25 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:18:25 2018"
1,"37 min","33 mi","via I-95","Wed Sep 26 13:18:33 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:18:33 2018"
1,"37 min","33 mi","via I-95","Wed Sep 26 13:18:39 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:18:39 2018"
1,"37 min","33 mi","via I-95","Wed Sep 26 13:18:46 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:18:46 2018"
1,"37 min","33 mi","via I-95","Wed Sep 26 13:18:55 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:18:55 2018"
1,"37 min","33 mi","via I-95","Wed Sep 26 13:19:03 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:19:03 2018"
1,"37 min","33 mi","via I-95","Wed Sep 26 13:19:11 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:19:11 2018"
1,"37 min","33 mi","via I-95","Wed Sep 26 13:19:19 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:19:19 2018"
1,"37 min","33 mi","via I-95","Wed Sep 26 13:19:25 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:19:25 2018"
1,"37 min","33 mi","via I-95","Wed Sep 26 13:19:32 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:19:32 2018"
1,"37 min","33 mi","via I-95","Wed Sep 26 13:19:40 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:19:40 2018"
1,"37 min","33 mi","via I-95","Wed Sep 26 13:19:47 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:19:47 2018"
1,"37 min","33 mi","via I-95","Wed Sep 26 13:19:54 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:19:54 2018"
1,"37 min","33 mi","via I-95","Wed Sep 26 13:20:00 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:20:00 2018"
1,"36 min","33 mi","via I-95","Wed Sep 26 13:20:09 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:20:09 2018"
1,"36 min","33 mi","via I-95","Wed Sep 26 13:20:17 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:20:17 2018"
1,"36 min","33 mi","via I-95","Wed Sep 26 13:20:23 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:20:23 2018"
1,"36 min","33 mi","via I-95","Wed Sep 26 13:20:30 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:20:30 2018"
1,"36 min","33 mi","via I-95","Wed Sep 26 13:20:37 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:20:37 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:20:44 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:20:44 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:20:50 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:20:50 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:20:57 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:20:57 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:21:04 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:21:04 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:21:11 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:21:11 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:21:18 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:21:18 2018"
1,"36 min","33 mi","via I-95","Wed Sep 26 13:21:25 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:21:25 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:21:31 2018"
