Route Number,ETA,Distance,Route,Time
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:24:09 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:24:15 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:24:15 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:24:22 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:24:22 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:24:29 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:24:29 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:24:36 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:24:36 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:24:43 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:24:43 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:24:49 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:24:49 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:24:56 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:24:56 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:25:02 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:25:02 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:25:09 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:25:09 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:25:15 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:25:15 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:25:22 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:25:22 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:25:28 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:25:28 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:25:35 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:25:35 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:25:42 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:25:42 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:25:48 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:25:48 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:25:55 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:25:55 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:26:03 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:26:03 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:26:10 2018
