Route Number,ETA,Distance,Route,Time
2,27 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:56:11 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:56:11 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:56:31 2018
2,27 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:56:31 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:56:31 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:56:52 2018
2,27 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:56:52 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:56:52 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:57:19 2018
2,27 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:57:19 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:57:19 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:57:35 2018
2,27 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:57:35 2018
3,28 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:57:35 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:58:01 2018
2,27 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:58:01 2018
3,28 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:58:01 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:58:24 2018
2,27 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:58:24 2018
3,28 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:58:24 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:58:43 2018
2,27 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:58:43 2018
3,28 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:58:43 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:59:05 2018
2,27 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:59:05 2018
3,28 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:59:05 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:59:24 2018
2,27 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:59:24 2018
3,28 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:59:24 2018
